loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,,,,,,,,483.3601075001061,0.0005937996320426464,0.09724169969558716,489.35969589976594,6.030532899778336,489.50965859973803,0.05412649968639016,0.1472254996187985,6.013836699537933,495.5096936998889,495.5762869999744,0.01544519979506731,0.11395039968192577,0.0,1.9661165997385979,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
30,0,30,0,,,,,,,,,,,,,,,,,497.57641669968143,0.000682000070810318,0.09896189998835325,503.5930530000478,6.015615399926901,503.7596007999964,0.08084170008078218,0.18233009986579418,6.0155719998292625,509.7597237001173,509.7929269000888,0.01833759993314743,0.11555260000750422,3.0,2.6316441004164517,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
31,0,31,0,,,,,,,,,,,,,,,,,512.4596790997311,0.0004322999157011509,0.09799390006810427,518.4596397997811,6.031334599945694,518.5931679001078,0.04270399967208505,0.13168189954012632,6.031400499865413,524.5930122998543,524.6929692998528,0.03405489958822727,0.13117269985377789,2.0,7.531482900027186,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
32,0,32,0,,,,,,,,,,,,,,,,,532.2598676998168,0.0004585999995470047,0.09728140011429787,538.2762357001193,6.014201200101525,538.3928654999472,0.037003000266849995,0.1307260999456048,6.03072760021314,544.3931200997904,544.4931625998579,0.033137999940663576,0.13050019973888993,0.0,3.6650720997713506,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
33,0,33,0,,,,,,,,,,,,,,,,,548.1931977998465,0.000373300164937973,0.09812810039147735,554.1762071000412,6.014546799939126,554.3264763997868,0.03840330010280013,0.13136820029467344,6.031233599875122,560.3262530998327,560.4261758998036,0.03403430012986064,0.13117389986291528,0.0,1.4980093999765813,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
34,0,34,0,,,,,,,,,,,,,,,,,561.9598546000198,0.0004548998549580574,0.09733319981023669,567.9762256001122,6.013930299784988,568.092856399715,0.03390749963000417,0.13045839965343475,6.030541199725121,574.0928790001199,574.1760754999705,0.016334999818354845,0.11382639966905117,0.0,1.698564600199461,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
35,0,35,0,,,,,,,,,,,,,,,,,575.90974489972,0.0004225000739097595,0.09822530020028353,581.8927513998933,6.014614800456911,582.0260473997332,0.021303100045770407,0.11460270034149289,6.014616400003433,588.0093374997377,588.1094129998237,0.000512000173330307,0.09797810018062592,0.0,3.1650676000863314,6.098018600139767,6.097967500332743,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
36,0,36,0,,,,,,,,,,,,,,,,,591.3095821999013,0.0005749999545514584,0.09647860005497932,597.3095149998553,6.029769900254905,597.4428987996653,0.02786790020763874,0.12974289990961552,6.029680899810046,603.4261070997454,603.5261177998036,0.01574009982869029,0.11291529983282089,1.0,3.098260700237006,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
37,0,37,0,,,,,,,,,,,,,,,,,606.6596794999205,0.0005271001718938351,0.09706340031698346,612.6595226996578,6.030554499942809,612.809443899896,0.0584367997944355,0.14721870003268123,6.01369439996779,618.8094267998822,618.8759886999615,0.016301999799907207,0.11364899994805455,0.0,3.0649876999668777,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
38,0,38,0,,,,,,,,,,,,,,,,,621.9761280999519,0.000502800103276968,0.0973179996944964,627.9927622000687,6.013942699879408,628.1592343999073,0.08245599968358874,0.18063890002667904,6.013919800054282,634.1593613997102,634.192669400014,0.016766599845141172,0.11393209965899587,0.0,1.831229300238192,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
39,0,39,0,,,,,,,,,,,,,,,,,636.059678199701,0.0006834003143012524,0.09730560006573796,642.0592124001123,6.0137797999195755,642.1928954999894,0.018893300089985132,0.1305927000939846,6.030451899860054,648.1927922996692,648.2760036000982,0.016288000158965588,0.1136921001598239,0.0,4.998323900159448,6.097142000216991,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
40,0,40,0,,,,,,,,,,,,,,,,,653.3093356001191,0.0006423997692763805,0.09682249976322055,659.30929809995,6.030149899888784,659.8259767000563,0.26746589969843626,0.5136506999842823,6.009768999647349,,665.5258732000366,0.012230499647557735,0.11330609954893589,0.0,1.2688174997456372,,6.093092899769545,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
41,0,41,0,,,,,,,,,,,,,,,,,666.8257889999077,0.00014560017734766006,0.11594909988343716,672.8259286996908,5.999272600281984,672.9591827997938,0.03307639993727207,0.13283010013401508,5.999244899954647,678.959142100066,679.0258041000925,0.001771099865436554,0.09915639972314239,0.0,1.598515400197357,6.099020200315863,6.09913619980216,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
42,0,42,0,,,,,,,,,,,,,,,,,680.6595471999608,0.0002188999205827713,0.09923500008881092,686.6758707999252,6.015798000153154,686.7924273000099,0.03405530005693436,0.13248750008642673,5.999143800232559,692.7925289999694,692.8591040996835,0.0008426997810602188,0.09901010012254119,0.0,5.2323894002474844,,6.0988981002010405,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
43,0,43,0,,,,,,,,,,,,,,,,,698.1258999998681,0.0005970001220703125,0.09693040000274777,704.1258593997918,6.030177399981767,704.2757808999158,0.05076840007677674,0.14734339993447065,6.013435699976981,710.2758440999314,710.3424672996625,0.014611199963837862,0.1133805001154542,0.0,2.2997261001728475,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
